"","site_name","latitude","longitude","region","country","county","com_type","commod1","commod2","commod3","oper_type","dep_type","prod_size","dev_stat","ore","gangue","work_type","names","ore_ctrl","hrock_type","arock_type"
"62","Fitzpatrick Mine",42.64221,-90.93153,NA,"United States","Dubuque","M","Lead","","","Underground","","","Past Producer","","","","","","",""
"63","Lytle Creek Diggings",42.26941,-90.78652,NA,"United States","Jackson","M","Lead","","","Surface-Underground","","","Past Producer","","","","","","",""
"64","Lunders Diggings",42.69721,-91.04453,NA,"United States","Clayton","M","Lead","","","Surface-Underground","","","Past Producer","","","","","","",""
"65","Red Ocher Quarry",41.54561,-93.0538,NA,"United States","Jasper","M","Iron","","","Surface","","","Past Producer","","","","","","",""
"66","Guttenberg Mines",42.79781,-91.12264,NA,"United States","Clayton","M","Lead","","","Underground","","","Past Producer","","","","Holmes Mine Largest of Several, Miners Creek Mines","","",""
"67","Tete Des Morts Subdistrict",42.37971,-90.50981,NA,"United States","Clayton, Jackson, Dubuque","M","Lead","","","Unknown","MISSISSIPPI VALLEY-TYPE LEAD-ZINC","Y","Past Producer","","","","","","",""
"68","Upper Mississippi Valley District",NA,NA,NA,"United States","Jackson, Clayton, Dubuque","M","Iron","","","Unknown","MISSISSIPPI VALLEY-TYPE LEAD-ZINC","Y","Past Producer","","","","","","",""
"69","Upper Mississippi Valley District",NA,NA,NA,"United States","Jackson, Clayton, Dubuque","M","Lead","","","Unknown","MISSISSIPPI VALLEY-TYPE LEAD-ZINC","Y","Past Producer","","","","","","",""
"70","Guttenberg Subdistrict",42.80831,-91.12794,NA,"United States","Clayton, Jackson, Dubuque","M","Lead","","","Unknown","MISSISSIPPI VALLEY-TYPE LEAD-ZINC","Y","Past Producer","","","","","","",""
"71","North Buena Vista Subdistrict",42.68501,-90.96623,NA,"United States","Jackson, Clayton, Dubuque","M","Lead","","","Unknown","MISSISSIPPI VALLEY-TYPE LEAD-ZINC","Y","Past Producer","","","","Turkey River Subdistrict","","",""
"72","Sherrill Mound Subdistrict",42.60421,-90.82183,NA,"United States","Clayton, Dubuque, Jackson","M","Lead","","","Unknown","MISSISSIPPI VALLEY-TYPE LEAD ZINC","Y","Past Producer","","","","","","",""
"73","Dubuque Subdistrict",42.58171,-90.87233,NA,"United States","Jackson, Clayton, Dubuque","M","Lead","","","Unknown","MISSISSIPPI VALLEY-TYPE LEAD-ZINC","Y","Past Producer","","","","","","",""
