"","site_name","latitude","longitude","region","country","county","com_type","commod1","commod2","commod3","oper_type","dep_type","prod_size","dev_stat","ore","gangue","work_type","names","ore_ctrl","hrock_type","arock_type"
"84","Fox Mine",41.96688,-72.74482,NA,"United States","Hartford","M","Copper","","","Underground","","","Past Producer","","","","","","",""
"85","Newgate North Shaft",41.96498,-72.74482,NA,"United States","Hartford","M","Copper","","","Underground","","","Past Producer","","","","","","",""
"86","Lead Mine",41.63139,-72.76142,NA,"United States","Hartford","M","Lead","","","Surface","","","Past Producer","","","","","","",""
"87","Lead Mine",41.82499,-72.92233,NA,"United States","Hartford","M","Lead","","","Surface","","","Past Producer","","","","","","",""
"88","Dorvel Metallurgical/Harwinton, Ct.",41.77309,-73.05813,NA,"United States","Litchfield","M","Copper","","","Processing Plant","","","Plant","","","","","","",""
"89","Mount Prospect",41.833,-73.317,NA,"United States","Litchfield","M","Nickel","","","Unknown","","","Prospect","","","","Mt. Prospect Prospects","","",""
"90","Sawmill Beryl Quarry",41.45079,-72.51312,NA,"United States","Middlesex","M","Beryllium","","","Surface","","","Past Producer","","","","","","",""
"91","Silver Mine",41.73469,-73.38514,NA,"United States","Hartford","M","Silver","","","Surface","","","Past Producer","","","","","","",""
"92","Bog Iron Mine",41.57968,-72.32731,NA,"United States","New London","M","Iron","","","Surface","","","Past Producer","","","","","","",""
"93","Davis Limonite Mine",41.97329,-73.43644,NA,"United States","Litchfield","M","Iron","","","Surface","","","Past Producer","","","","Davis Mine","","",""
"94","Peet Mine",42.01579,-73.30644,NA,"United States","Litchfield","M","Iron","","","Surface","","","Past Producer","","","","","","",""
"95","Kent Mine",41.69219,-73.44144,NA,"United States","Litchfield","M","Iron","","","Surface","","","Past Producer","","","","","","",""
"96","Magnetite Mine",41.26329,-73.42345,NA,"United States","Fairfield","M","Iron","","","Surface","","","Past Producer","","","","","","",""
"97","Brookpit Mine",41.95689,-73.47094,NA,"United States","Litchfield","M","Iron","","","Surface","","","Past Producer","","","","","","",""
"98","Magnetite Mine",41.69529,-72.98013,NA,"United States","Hartford","M","Iron","","","Surface","","","Past Producer","","","","","","",""
"99","Scoville Mine",42.01859,-73.44234,NA,"United States","Litchfield","M","Iron","","Manganese","Surface","","","Past Producer","","","","","","",""
"100","Cross Rock Mine",41.45559,-72.87763,NA,"United States","New Haven","M","Copper","","","Surface","","","Past Producer","","","","Cross-Rock Copper Mine","","",""
"101","Gold Mine",41.26919,-72.96673,NA,"United States","New Haven","M","Gold","","","Surface","","","Past Producer","","","","","","",""
"102","Wilton Lead Mine",41.16279,-73.45285,NA,"United States","Fairfield","M","Lead","","","Surface","","","Past Producer","","","","","","",""
"103","Handy & Harmon Refin/Fairfield, Ct.",41.14359,-73.24954,NA,"United States","Fairfield","M","Silver","","","Processing Plant","","","Plant","","","","","","",""
"104","Ore Hill Limonite Mine",41.95719,-73.47894,NA,"United States","Litchfield","M","Iron","","","Surface-Underground","","","Past Producer","","","","O'Halleron Property, Ore Hill Mine","","",""
"105","Buck Hill Magnetite Mine",41.81299,-73.40354,NA,"United States","Litchfield","M","Iron","","","Unknown","","","Prospect","Magnetite","","","","","",""
"106","Unnamed Magnetite Occurrence",41.94698,-73.11853,NA,"United States","Litchfield","M","Iron","","","Unknown","","","Occurrence","Magnetite","","","","","",""
"107","Unnamed Magnetite Occurrence",41.67599,-73.36254,NA,"United States","Litchfield","M","Iron","","","Unknown","","","Occurrence","Magnetite","","","","","",""
"108","Unnamed Magnetite Occurrence",41.70299,-72.98353,NA,"United States","Hartford","M","Iron","","","Unknown","","","Occurrence","Magnetite","","","","","",""
"109","Unnamed Magnetite Occurrence",41.26299,-73.42255,NA,"United States","Fairfield","M","Iron","","","Unknown","","","Occurrence","Magnetite","","","","","",""
"110","Gold Prospect",42.02392,-72.20146,NA,"United States","Tolland","M","Gold","","","Unknown","","","Occurrence","Gold","","","","","",""
"111","Gold Prospect",42.01308,-72.21897,NA,"United States","Tolland","M","Gold","","","Unknown","","","Occurrence","Gold","","","","","",""
