"","state","Metal","Number Of Deposits"
"210","Michigan","Lead",17
"211","Michigan","Magnesite",8
"212","Minnesota","Titanium",22
"213","Minnesota","Uranium",10
"214","Minnesota","Manganese",5
"215","Minnesota","Copper",15
"216","Minnesota","Gold",18
"217","Minnesota","Iron",1170
"218","Minnesota","Platinum",5
"219","Minnesota","Silica",13
"220","Minnesota","Metal",20
"221","Minnesota","Nickel",12
"222","Minnesota","Palladium",5
"223","Mississippi","Chromium",1
"224","Mississippi","Iron",400
"225","Mississippi","Aluminum",146
"226","Mississippi","Anthracite",1
"227","Mississippi","Pigment",2
"228","Mississippi","Magnesite",1
"229","Mississippi","Manganese",1
"230","Mississippi","Titanium",4
"231","Mississippi","Silica",1
"232","Missouri","Lead",3779
"233","Missouri","Iron",1364
"234","Missouri","Silver",22
"235","Missouri","Copper",114
"236","Missouri","Silica",28
"237","Missouri","Manganese",48
"238","Missouri","Nickel",29
"239","Missouri","Cobalt",38
"240","Missouri","Sulfur-Pyrite",26
"241","Missouri","Zinc",3246
"242","Montana","Silver",2044
"243","Montana","Gold",3606
"244","Montana","Copper",1096
"245","Montana","Molybdenum",90
"246","Montana","Uranium",228
"247","Montana","Zinc",316
"248","Montana","Lead",1332
"249","Montana","Tungsten",252
"250","Montana","Iron",172
"251","Montana","Manganese",274
"252","Nebraska","Smelter",1
"253","Nebraska","Lead",2
"254","Nebraska","Refiner",1
"255","Nevada","Silver",3158
"256","Nevada","Tungsten",1004
"257","Nevada","Uranium",544
"258","Nevada","Lead",1162
"259","Nevada","Manganese",231
"260","Nevada","Mercury",578
"261","Nevada","Copper",1292
"262","Nevada","Zinc",288
"263","Nevada","Antimony",293
"264","Nevada","Gold",5403
"265","New Hampshire","Beryllium",13
"266","New Hampshire","Gold",11
"267","New Hampshire","Lead",32
"268","New Hampshire","Copper",31
"269","New Hampshire","Iron",12
"270","New Hampshire","Tungsten",6
"271","New Hampshire","Zinc",12
"272","New Hampshire","Molybdenum",10
"273","New Hampshire","Silica",52
"274","New Hampshire","Sulfur-Pyrite",4
"275","New Jersey","Iron",504
"276","New Jersey","Copper",32
"277","New Jersey","Metal",6
"278","New Jersey","Platinum",2
"279","New Jersey","Magnesite",2
"280","New Jersey","Manganese",2
"281","New Jersey","Titanium",12
"282","New Jersey","REE",6
"283","New Jersey","Silica",3
"284","New Jersey","Zirconium",5
"285","New Jersey","Tungsten",2
"286","New Jersey","Uranium",2
"287","New Jersey","Zinc",8
"288","New Mexico","Gold",981
"289","New Mexico","Copper",766
"290","New Mexico","Lead",526
"291","New Mexico","Manganese",203
"292","New Mexico","Silver",960
"293","New Mexico","Iron",284
"294","New Mexico","Uranium",780
