"","state","commod1","n"
"212","Connecticut","REE",1
"213","Connecticut","Silica",1
"214","Connecticut","Silver",8
"215","Connecticut","Sulfur-Pyrite",1
"216","Connecticut","Tungsten",2
"217","Delaware","Aluminum",1
"218","Delaware","Chromium",1
"219","Delaware","Iron",9
"220","Delaware","Magnesite",1
"221","Delaware","Pigment",1
"222","Delaware","Titanium",2
"223","District of Columbia","Iron",2
"224","Florida","Aluminum",1
"225","Florida","Iron",12
"226","Florida","Magnesite",3
"227","Florida","Metal",1
"228","Florida","Peat",1
"229","Florida","REE",2
"230","Florida","Silica",7
"231","Florida","Thorium",2
"232","Florida","Titanium",13
"233","Florida","Titanium-Heavy Minerals",14
"234","Florida","Zirconium",3
"235","Georgia","Aluminum",207
"236","Georgia","Arsenic",1
"237","Georgia","Beryllium",2
"238","Georgia","Chromium",3
"239","Georgia","Cobalt",2
"240","Georgia","Copper",13
"241","Georgia","Gold",475
"242","Georgia","Iron",328
"243","Georgia","Iron-Pyrite",18
"244","Georgia","Lead",3
"245","Georgia","Magnesite",1
"246","Georgia","Manganese",96
"247","Georgia","Molybdenum",2
"248","Georgia","Nickel",1
"249","Georgia","Pigment",1
"250","Georgia","Platinum",1
"251","Georgia","REE",2
"252","Georgia","Silica",2
"253","Georgia","Sulfur-Pyrite",1
"254","Georgia","Thorium",1
"255","Georgia","Titanium",13
"256","Georgia","Tungsten",1
"257","Georgia","Zinc",4
"258","Georgia","Zirconium",6
"259","Hawaii","Aluminum",4
"260","Hawaii","Metal",1
"261","Hawaii","Titanium",1
"262","Idaho","Aluminum",5
"263","Idaho","Antimony",90
"264","Idaho","Arsenic",5
"265","Idaho","Beryllium",25
"266","Idaho","Bismuth",6
"267","Idaho","Bituminous",2
"268","Idaho","Cesium",2
"269","Idaho","Chromium",1
"270","Idaho","Cobalt",37
"271","Idaho","Copper",766
"272","Idaho","Gold",3073
"273","Idaho","Iron",90
"274","Idaho","Lead",1120
"275","Idaho","Lignite",6
"276","Idaho","Magnesite",9
"277","Idaho","Manganese",37
"278","Idaho","Mercury",39
"279","Idaho","Molybdenum",86
"280","Idaho","Nickel",10
"281","Idaho","Niobium (Columbium)",23
"282","Idaho","Peat",1
"283","Idaho","PGE",1
"284","Idaho","Platinum",5
"285","Idaho","REE",69
"286","Idaho","Rhenium",3
"287","Idaho","Scandium",1
"288","Idaho","Silica",28
"289","Idaho","Silver",1490
"290","Idaho","Tantalum",6
"291","Idaho","Tellurium",2
"292","Idaho","Thorium",176
"293","Idaho","Tin",8
"294","Idaho","Titanium",23
"295","Idaho","Tungsten",135
"296","Idaho","Uranium",121
"297","Idaho","Vanadium",6
"298","Idaho","Zinc",363
"299","Idaho","Zirconium",5
"300","Illinois","Aluminum",1
"301","Illinois","Cadmium",2
"302","Illinois","Copper",2
"303","Illinois","Gold",1
"304","Illinois","Iridium",1
"305","Illinois","Iron",5
"306","Illinois","Lead",169
"307","Illinois","Magnesite",1
"308","Illinois","Palladium",1
"309","Illinois","Platinum",1
"310","Illinois","Ruthenium",1
"311","Illinois","Silica",7
"312","Illinois","Silver",1
"313","Illinois","Tantalum",1
"314","Illinois","Thorium",1
"315","Illinois","Zinc",90
"316","Indiana","Aluminum",12
"317","Indiana","Antimony",1
"318","Indiana","Chromium",1
"319","Indiana","Contained or Metal",1
"320","Indiana","Iron",292
"321","Indiana","Lead",2
"322","Indiana","Magnesite",2
"323","Indiana","Silica",5
"324","Indiana","Tungsten",1
"325","Iowa","Bituminous",3
"326","Iowa","Iron",7
"327","Iowa","Lead",66
"328","Iowa","Molybdenum",1
"329","Iowa","Zinc",56
"330","Kansas","Lead",4
"331","Kansas","Zinc",4
"332","Kentucky","Aluminum",3
"333","Kentucky","Chromium",1
"334","Kentucky","Contained or Metal",2
"335","Kentucky","Iron",9
"336","Kentucky","Lead",3
"337","Kentucky","Silica",27
"338","Kentucky","Titanium",1
"339","Kentucky","Tungsten",2
"340","Kentucky","Uranium",3
"341","Kentucky","Zinc",8
"342","Louisiana","Aluminum",4
"343","Louisiana","Manganese",1
"344","Louisiana","Pigment",1
"345","Louisiana","Titanium",1
"346","Maine","Antimony",2
"347","Maine","Arsenic",4
"348","Maine","Beryllium",19
"349","Maine","Bismuth",1
"350","Maine","Cesium",3
"351","Maine","Chromium",1
"352","Maine","Cobalt",3
"353","Maine","Copper",123
"354","Maine","Gold",69
"355","Maine","Iron",20
"356","Maine","Lead",118
"357","Maine","Lithium",4
"358","Maine","Manganese",59
"359","Maine","Molybdenum",28
"360","Maine","Nickel",10
"361","Maine","Niobium (Columbium)",1
"362","Maine","Rhenium",1
"363","Maine","Silica",2
"364","Maine","Silver",137
"365","Maine","Sulfur-Pyrite",1
"366","Maine","Tin",5
"367","Maine","Titanium",1
"368","Maine","Tungsten",20
"369","Maine","Uranium",1
"370","Maine","Zinc",52
"371","Maine","Zirconium",2
"372","Maryland","Aluminum",2
"373","Maryland","Antimony",1
"374","Maryland","Chromium",19
"375","Maryland","Contained or Metal",1
"376","Maryland","Copper",22
"377","Maryland","Gold",28
"378","Maryland","Iron",324
"379","Maryland","Manganese",4
"380","Maryland","Metal",1
"381","Maryland","Molybdenum",3
"382","Maryland","Nickel",1
"383","Maryland","Pigment",1
"384","Maryland","Platinum",1
"385","Maryland","Silica",2
"386","Maryland","Silver",1
"387","Maryland","Titanium",2
"388","Maryland","Titanium-Ilmenite",1
"389","Maryland","Titanium-Rutile",1
"390","Maryland","Uranium",1
"391","Maryland","Zinc",1
"392","Massachusetts","Aluminum",2
"393","Massachusetts","Copper",19
"394","Massachusetts","Gold",5
"395","Massachusetts","Iron",84
"396","Massachusetts","Lead",26
"397","Massachusetts","Lithium",14
"398","Massachusetts","Manganese",5
"399","Massachusetts","Mercury",1
"400","Massachusetts","Metal",2
"401","Massachusetts","Molybdenum",1
"402","Massachusetts","Nickel",3
"403","Massachusetts","Silica",12
"404","Massachusetts","Silver",2
"405","Massachusetts","Sulfur-Pyrite",3
"406","Massachusetts","Tantalum",1
"407","Massachusetts","Thorium",1
"408","Massachusetts","Titanium",4
"409","Massachusetts","Tungsten",2
"410","Massachusetts","Vanadium",1
"411","Massachusetts","Zinc",1
"412","Massachusetts","Zirconium",2
"413","Michigan","Aluminum",1
"414","Michigan","Bismuth",1
"415","Michigan","Copper",356
"416","Michigan","Gold",45
"417","Michigan","Iron",1082
"418","Michigan","Lead",17
"419","Michigan","Magnesite",8
"420","Michigan","Manganese",1
"421","Michigan","Metal",1
"422","Michigan","Molybdenum",9
"423","Michigan","Nickel",3
"424","Michigan","REE",1
"425","Michigan","Silica",9
"426","Michigan","Silver",21
"427","Michigan","Tantalum",1
"428","Michigan","Titanium",2
"429","Michigan","Tungsten",5
"430","Michigan","Uranium",2
"431","Michigan","Vanadium",2
"432","Michigan","Zinc",17
"433","Minnesota","Arsenic",1
"434","Minnesota","Cobalt",2
"435","Minnesota","Copper",15
"436","Minnesota","Gold",18
"437","Minnesota","Iron",1170
"438","Minnesota","Manganese",5
"439","Minnesota","Metal",20
"440","Minnesota","Nickel",12
"441","Minnesota","Palladium",5
"442","Minnesota","PGE",1
"443","Minnesota","Platinum",5
"444","Minnesota","Silica",13
"445","Minnesota","Silver",3
"446","Minnesota","Sulfur-Pyrite",1
"447","Minnesota","Titanium",22
"448","Minnesota","Uranium",10
"449","Minnesota","Vanadium",2
"450","Mississippi","Aluminum",146
"451","Mississippi","Anthracite",1
"452","Mississippi","Chromium",1
"453","Mississippi","Iron",400
"454","Mississippi","Magnesite",1
"455","Mississippi","Manganese",1
"456","Mississippi","Pigment",2
"457","Mississippi","Silica",1
"458","Mississippi","Titanium",4
"459","Missouri","Aluminum",4
"460","Missouri","Bituminous",12
"461","Missouri","Cadmium",1
"462","Missouri","Coal",10
"463","Missouri","Cobalt",38
"464","Missouri","Contained or Metal",1
"465","Missouri","Copper",114
"466","Missouri","Gold",8
"467","Missouri","Iron",1364
"468","Missouri","Lead",3779
"469","Missouri","Magnesite",1
"470","Missouri","Manganese",48
"471","Missouri","Nickel",29
"472","Missouri","Refiner",1
"473","Missouri","Scandium",1
"474","Missouri","Silica",28
"475","Missouri","Silver",22
