"","state","commod1","n"
"892","Texas","Mercury",40
"893","Texas","Metal",4
"894","Texas","Molybdenum",17
"895","Texas","Nickel",1
"896","Texas","Niobium (Columbium)",1
"897","Texas","Platinum",2
"898","Texas","REE",3
"899","Texas","Silica",47
"900","Texas","Silver",132
"901","Texas","Sulfur-Pyrite",1
"902","Texas","Thorium",4
"903","Texas","Tin",5
"904","Texas","Titanium",8
"905","Texas","Tungsten",4
"906","Texas","Uranium",163
"907","Texas","Vanadium",3
"908","Texas","Zinc",61
"909","Texas","Zirconium",5
"910","U.S. Virgin Islands","Aluminum",1
"911","U.S. Virgin Islands","Copper",1
"912","U.S. Virgin Islands","Gold",3
"913","Utah","Aluminum",52
"914","Utah","Antimony",36
"915","Utah","Arsenic",13
"916","Utah","Beryllium",18
"917","Utah","Bismuth",15
"918","Utah","Cadmium",1
"919","Utah","Coal",1
"920","Utah","Cobalt",3
"921","Utah","Copper",1066
"922","Utah","Gallium",1
"923","Utah","Geothermal",1
"924","Utah","Gilsonite",1
"925","Utah","Gold",794
"926","Utah","Iron",336
"927","Utah","Lead",1460
"928","Utah","Magnesite",2
"929","Utah","Manganese",179
"930","Utah","Mercury",26
"931","Utah","Metal",2
"932","Utah","Molybdenum",66
"933","Utah","Niobium (Columbium)",1
"934","Utah","PGE",1
"935","Utah","Radium",2
"936","Utah","REE",5
"937","Utah","Rhodium",1
"938","Utah","Rock Asphalt",1
"939","Utah","Selenium",1
"940","Utah","Silica",46
"941","Utah","Silver",1454
"942","Utah","Sulfur-Pyrite",2
"943","Utah","Tantalum",1
"944","Utah","Thallium",2
"945","Utah","Thorium",4
"946","Utah","Tin",1
"947","Utah","Titanium",11
"948","Utah","Tungsten",169
"949","Utah","Uranium",2256
"950","Utah","Vanadium",596
"951","Utah","Zinc",601
"952","Utah","Zirconium",7
"953","Vermont","Aluminum",2
"954","Vermont","Arsenic",2
"955","Vermont","Chromium",4
"956","Vermont","Copper",56
"957","Vermont","Gold",20
"958","Vermont","Iron",70
"959","Vermont","Lead",32
"960","Vermont","Manganese",1
"961","Vermont","Molybdenum",4
"962","Vermont","Silver",3
"963","Vermont","Titanium",2
"964","Vermont","Uranium",22
"965","Vermont","Zinc",15
"966","Virginia","Aluminum",6
"967","Virginia","Arsenic",3
"968","Virginia","Beryllium",1
"969","Virginia","Cesium",1
"970","Virginia","Cobalt",2
"971","Virginia","Copper",214
"972","Virginia","Gold",392
"973","Virginia","Iron",731
"974","Virginia","Lead",56
"975","Virginia","Lithium",1
"976","Virginia","Manganese",311
"977","Virginia","Metal",2
"978","Virginia","Nickel",6
"979","Virginia","Niobium (Columbium)",1
"980","Virginia","Palladium",1
"981","Virginia","Pig Iron",6
"982","Virginia","Platinum",2
"983","Virginia","Silica",2
"984","Virginia","Silver",9
"985","Virginia","Sulfur-Pyrite",24
"986","Virginia","Tantalum",2
"987","Virginia","Thorium",2
"988","Virginia","Tin",2
"989","Virginia","Titanium",23
"990","Virginia","Tungsten",4
"991","Virginia","Uranium",3
"992","Virginia","Zinc",164
"993","Virginia","Zirconium",2
"994","Washington","Aluminum",38
"995","Washington","Antimony",94
"996","Washington","Arsenic",21
"997","Washington","Beryllium",20
"998","Washington","Bismuth",7
"999","Washington","Cadmium",9
"1000","Washington","Cesium",1
"1001","Washington","Chromium",131
"1002","Washington","Cobalt",18
"1003","Washington","Contained or Metal",7
"1004","Washington","Copper",1584
"1005","Washington","Gallium",4
"1006","Washington","Gold",2428
"1007","Washington","Iridium",1
"1008","Washington","Iron",212
"1009","Washington","Lead",1113
"1010","Washington","Lithium",1
"1011","Washington","Magnesite",78
"1012","Washington","Manganese",193
"1013","Washington","Mercury",55
"1014","Washington","Metal",11
"1015","Washington","Molybdenum",178
"1016","Washington","Nickel",102
"1017","Washington","Niobium (Columbium)",2
"1018","Washington","Osmium",1
"1019","Washington","Palladium",2
"1020","Washington","PGE",2
"1021","Washington","Platinum",21
"1022","Washington","REE",8
"1023","Washington","Selenium",4
"1024","Washington","Silica",111
"1025","Washington","Silver",1510
"1026","Washington","Sulfur-Pyrite",2
"1027","Washington","Tellurium",6
"1028","Washington","Thorium",7
"1029","Washington","Tin",12
"1030","Washington","Titanium",19
"1031","Washington","Tungsten",151
"1032","Washington","Uranium",137
"1033","Washington","Vanadium",6
"1034","Washington","Zinc",540
"1035","Washington","Zirconium",4
"1036","West Virginia","Aluminum",2
"1037","West Virginia","Chromium",2
"1038","West Virginia","Contained or Metal",1
"1039","West Virginia","Iron",126
"1040","West Virginia","Manganese",13
"1041","West Virginia","Nickel",1
"1042","West Virginia","Zinc",2
"1043","West Virginia","Zirconium",2
"1044","Wisconsin","Copper",92
"1045","Wisconsin","Ferromanganese",1
"1046","Wisconsin","Gold",3
"1047","Wisconsin","Iron",45
"1048","Wisconsin","Lead",351
"1049","Wisconsin","Manganese",2
"1050","Wisconsin","Molybdenum",3
"1051","Wisconsin","Nickel",4
"1052","Wisconsin","REE",1
"1053","Wisconsin","Silica",4
"1054","Wisconsin","Silver",1
"1055","Wisconsin","Zinc",406
"1056","Wyoming","Aluminum",3
"1057","Wyoming","Arsenic",1
"1058","Wyoming","Bentonite",2
"1059","Wyoming","Beryllium",9
"1060","Wyoming","Bismuth",1
"1061","Wyoming","Chromium",4
"1062","Wyoming","Copper",191
"1063","Wyoming","Dolomite",1
"1064","Wyoming","Garnet",1
"1065","Wyoming","Gold",213
"1066","Wyoming","Iron",122
"1067","Wyoming","Lead",20
"1068","Wyoming","Lithium",5
"1069","Wyoming","Magnesite",13
"1070","Wyoming","Manganese",21
"1071","Wyoming","Metal",4
"1072","Wyoming","Molybdenum",10
"1073","Wyoming","Nickel",3
"1074","Wyoming","Niobium (Columbium)",4
"1075","Wyoming","Palladium",2
"1076","Wyoming","Platinum",4
"1077","Wyoming","Radium",1
"1078","Wyoming","REE",10
"1079","Wyoming","Selenium",6
"1080","Wyoming","Silica",22
"1081","Wyoming","Silver",46
"1082","Wyoming","Sulfur-Pyrite",2
"1083","Wyoming","Tantalum",6
"1084","Wyoming","Tellurium",1
"1085","Wyoming","Thorium",12
"1086","Wyoming","Tin",3
"1087","Wyoming","Titanium",27
"1088","Wyoming","Titanium-Heavy Minerals",9
"1089","Wyoming","Tungsten",26
"1090","Wyoming","Uranium",2245
"1091","Wyoming","Vanadium",3
"1092","Wyoming","Zinc",3
"1093","Wyoming","Zirconium",2
