"","state","Metal","Number Of Deposits","id"
"794","Pennsylvania","Iridium",2,42
"795","Pennsylvania","Tellurium",1,42
"796","Pennsylvania","Thorium",4,42
"797","Pennsylvania","Titanium",4,42
"798","Rhode Island","Arsenic",1,44
"799","Rhode Island","Metal",1,44
"800","Rhode Island","Gold",2,44
"801","Rhode Island","Iron",4,44
"802","Rhode Island","Manganese",1,44
"803","Rhode Island","Molybdenum",1,44
"804","Rhode Island","Titanium",3,44
"805","South Carolina","Chromium",1,45
"806","South Carolina","Contained or Metal",1,45
"807","South Carolina","Iron",111,45
"808","South Carolina","Lead",2,45
"809","South Carolina","Copper",10,45
"810","South Carolina","Gold",258,45
"811","South Carolina","Silica",4,45
"812","South Carolina","Silver",6,45
"813","South Carolina","Manganese",15,45
"814","South Carolina","REE",5,45
"815","South Carolina","Aluminum",1,45
"816","South Carolina","Titanium",57,45
"817","South Carolina","Zirconium",40,45
"818","South Carolina","Tantalum",1,45
"819","South Carolina","Thorium",40,45
"820","South Carolina","Tin",9,45
"821","South Dakota","Antimony",2,46
"822","South Dakota","Iron",26,46
"823","South Dakota","Beryllium",8,46
"824","South Dakota","Copper",18,46
"825","South Dakota","Gold",486,46
"826","South Dakota","Manganese",8,46
"827","South Dakota","Lead",20,46
"828","South Dakota","Lignite",4,46
"829","South Dakota","Lithium",16,46
"830","South Dakota","Silica",2,46
"831","South Dakota","Silver",192,46
"832","South Dakota","Sulfur-Pyrite",8,46
"833","South Dakota","Tantalum",3,46
"834","South Dakota","Tellurium",1,46
"835","South Dakota","Tin",61,46
"836","South Dakota","Tungsten",47,46
"837","South Dakota","Uranium",212,46
"838","South Dakota","Zinc",3,46
"839","South Dakota","Molybdenum",3,46
"840","South Dakota","Niobium (Columbium)",1,46
"841","South Dakota","Rhenium",1,46
"842","Tennessee","Aluminum",21,47
"843","Tennessee","Copper",10,47
"844","Tennessee","Gold",124,47
"845","Tennessee","Iron",557,47
"846","Tennessee","Lead",31,47
"847","Tennessee","Lithium",1,47
"848","Tennessee","Manganese",138,47
"849","Tennessee","Mercury",1,47
"850","Tennessee","Metal",3,47
"851","Tennessee","Oil Shale",1,47
"852","Tennessee","Pigment",1,47
"853","Tennessee","Chromium",1,47
"854","Tennessee","Cobalt",1,47
"855","Tennessee","Contained or Metal",1,47
"856","Tennessee","Thorium",3,47
"857","Tennessee","Titanium",9,47
"858","Tennessee","Uranium",101,47
"859","Tennessee","Zinc",113,47
"860","Tennessee","Zirconium",5,47
"861","Tennessee","Sulfur-Pyrite",2,47
"862","Tennessee","REE",2,47
"863","Tennessee","Silica",82,47
"864","Texas","Antimony",1,48
"865","Texas","Aluminum",6,48
"866","Texas","Chromium",1,48
"867","Texas","Arsenic",2,48
"868","Texas","Beryllium",4,48
"869","Texas","Bismuth",2,48
"870","Texas","Gold",34,48
"871","Texas","Iron",98,48
"872","Texas","Lead",100,48
"873","Texas","Magnesite",13,48
"874","Texas","Manganese",35,48
"875","Texas","Mercury",40,48
"876","Texas","Metal",4,48
"877","Texas","Molybdenum",17,48
"878","Texas","Nickel",1,48
"879","Texas","Niobium (Columbium)",1,48
"880","Texas","Coal",1,48
"881","Texas","Contained or Metal",2,48
"882","Texas","Copper",212,48
"883","Texas","Silver",132,48
"884","Texas","Sulfur-Pyrite",1,48
"885","Texas","Thorium",4,48
"886","Texas","Tin",5,48
"887","Texas","Titanium",8,48
"888","Texas","Tungsten",4,48
"889","Texas","Uranium",163,48
"890","Texas","Vanadium",3,48
"891","Texas","Zinc",61,48
"892","Texas","Zirconium",5,48
"893","Texas","Platinum",2,48
"894","Texas","REE",3,48
"895","Texas","Silica",47,48
"896","Utah","Aluminum",52,49
"897","Utah","Antimony",36,49
"898","Utah","Arsenic",13,49
"899","Utah","Beryllium",18,49
"900","Utah","Bismuth",15,49
"901","Utah","Cadmium",1,49
"902","Utah","Coal",1,49
"903","Utah","Cobalt",3,49
"904","Utah","Copper",1066,49
"905","Utah","Gallium",1,49
"906","Utah","Geothermal",1,49
"907","Utah","Gilsonite",1,49
"908","Utah","Gold",794,49
"909","Utah","Iron",336,49
"910","Utah","Lead",1460,49
"911","Utah","Magnesite",2,49
"912","Utah","Manganese",179,49
"913","Utah","Mercury",26,49
"914","Utah","Metal",2,49
"915","Utah","Molybdenum",66,49
"916","Utah","Niobium (Columbium)",1,49
"917","Utah","PGE",1,49
"918","Utah","Radium",2,49
"919","Utah","REE",5,49
"920","Utah","Rhodium",1,49
"921","Utah","Rock Asphalt",1,49
"922","Utah","Selenium",1,49
"923","Utah","Silica",46,49
"924","Utah","Silver",1454,49
"925","Utah","Sulfur-Pyrite",2,49
"926","Utah","Tantalum",1,49
"927","Utah","Thallium",2,49
"928","Utah","Thorium",4,49
"929","Utah","Tin",1,49
"930","Utah","Titanium",11,49
"931","Utah","Tungsten",169,49
"932","Utah","Uranium",2256,49
"933","Utah","Vanadium",596,49
"934","Utah","Zinc",601,49
"935","Utah","Zirconium",7,49
"936","Vermont","Aluminum",2,50
"937","Vermont","Arsenic",2,50
"938","Vermont","Chromium",4,50
"939","Vermont","Copper",56,50
"940","Vermont","Gold",20,50
"941","Vermont","Iron",70,50
"942","Vermont","Lead",32,50
"943","Vermont","Manganese",1,50
"944","Vermont","Molybdenum",4,50
"945","Vermont","Silver",3,50
"946","Vermont","Titanium",2,50
"947","Vermont","Uranium",22,50
"948","Vermont","Zinc",15,50
"949","Virginia","Aluminum",6,51
"950","Virginia","Arsenic",3,51
"951","Virginia","Beryllium",1,51
"952","Virginia","Cesium",1,51
"953","Virginia","Cobalt",2,51
"954","Virginia","Copper",214,51
"955","Virginia","Gold",392,51
"956","Virginia","Iron",731,51
"957","Virginia","Lead",56,51
"958","Virginia","Lithium",1,51
"959","Virginia","Manganese",311,51
"960","Virginia","Metal",2,51
"961","Virginia","Nickel",6,51
"962","Virginia","Niobium (Columbium)",1,51
"963","Virginia","Palladium",1,51
"964","Virginia","Pig Iron",6,51
"965","Virginia","Platinum",2,51
"966","Virginia","Silica",2,51
"967","Virginia","Silver",9,51
"968","Virginia","Sulfur-Pyrite",24,51
"969","Virginia","Tantalum",2,51
"970","Virginia","Thorium",2,51
"971","Virginia","Tin",2,51
"972","Virginia","Titanium",23,51
"973","Virginia","Tungsten",4,51
"974","Virginia","Uranium",3,51
"975","Virginia","Zinc",164,51
"976","Virginia","Zirconium",2,51
"977","Washington","Aluminum",38,53
"978","Washington","Antimony",94,53
"979","Washington","Arsenic",21,53
"980","Washington","Beryllium",20,53
"981","Washington","Bismuth",7,53
"982","Washington","Cadmium",9,53
"983","Washington","Cesium",1,53
"984","Washington","Chromium",131,53
"985","Washington","Cobalt",18,53
"986","Washington","Contained or Metal",7,53
"987","Washington","Copper",1584,53
"988","Washington","Gallium",4,53
"989","Washington","Gold",2428,53
"990","Washington","Iridium",1,53
"991","Washington","Iron",212,53
"992","Washington","Lead",1113,53
"993","Washington","Lithium",1,53
"994","Washington","Magnesite",78,53
"995","Washington","Manganese",193,53
"996","Washington","Mercury",55,53
"997","Washington","Metal",11,53
"998","Washington","Molybdenum",178,53
"999","Washington","Nickel",102,53
"1000","Washington","Niobium (Columbium)",2,53
"1001","Washington","Osmium",1,53
"1002","Washington","Palladium",2,53
"1003","Washington","PGE",2,53
"1004","Washington","Platinum",21,53
"1005","Washington","REE",8,53
"1006","Washington","Selenium",4,53
"1007","Washington","Silica",111,53
"1008","Washington","Silver",1510,53
"1009","Washington","Sulfur-Pyrite",2,53
"1010","Washington","Tellurium",6,53
"1011","Washington","Thorium",7,53
"1012","Washington","Tin",12,53
"1013","Washington","Titanium",19,53
"1014","Washington","Tungsten",151,53
"1015","Washington","Uranium",137,53
"1016","Washington","Vanadium",6,53
"1017","Washington","Zinc",540,53
"1018","Washington","Zirconium",4,53
"1019","West Virginia","Aluminum",2,54
"1020","West Virginia","Chromium",2,54
"1021","West Virginia","Contained or Metal",1,54
"1022","West Virginia","Iron",126,54
"1023","West Virginia","Manganese",13,54
"1024","West Virginia","Nickel",1,54
"1025","West Virginia","Zinc",2,54
"1026","West Virginia","Zirconium",2,54
"1027","Wisconsin","Copper",92,55
"1028","Wisconsin","Ferromanganese",1,55
"1029","Wisconsin","Gold",3,55
"1030","Wisconsin","Iron",45,55
"1031","Wisconsin","Lead",351,55
"1032","Wisconsin","Manganese",2,55
"1033","Wisconsin","Molybdenum",3,55
"1034","Wisconsin","Nickel",4,55
"1035","Wisconsin","REE",1,55
"1036","Wisconsin","Silica",4,55
"1037","Wisconsin","Silver",1,55
"1038","Wisconsin","Zinc",406,55
"1039","Wyoming","Aluminum",3,56
"1040","Wyoming","Arsenic",1,56
"1041","Wyoming","Bentonite",2,56
"1042","Wyoming","Beryllium",9,56
"1043","Wyoming","Bismuth",1,56
"1044","Wyoming","Chromium",4,56
"1045","Wyoming","Copper",191,56
"1046","Wyoming","Dolomite",1,56
"1047","Wyoming","Garnet",1,56
"1048","Wyoming","Gold",213,56
"1049","Wyoming","Iron",122,56
"1050","Wyoming","Lead",20,56
"1051","Wyoming","Lithium",5,56
"1052","Wyoming","Magnesite",13,56
"1053","Wyoming","Manganese",21,56
"1054","Wyoming","Metal",4,56
"1055","Wyoming","Molybdenum",10,56
"1056","Wyoming","Nickel",3,56
"1057","Wyoming","Niobium (Columbium)",4,56
"1058","Wyoming","Palladium",2,56
"1059","Wyoming","Platinum",4,56
"1060","Wyoming","Radium",1,56
"1061","Wyoming","REE",10,56
"1062","Wyoming","Selenium",6,56
"1063","Wyoming","Silica",22,56
"1064","Wyoming","Silver",46,56
"1065","Wyoming","Sulfur-Pyrite",2,56
"1066","Wyoming","Tantalum",6,56
"1067","Wyoming","Tellurium",1,56
"1068","Wyoming","Thorium",12,56
"1069","Wyoming","Tin",3,56
"1070","Wyoming","Titanium",27,56
"1071","Wyoming","Titanium-Heavy Minerals",9,56
"1072","Wyoming","Tungsten",26,56
"1073","Wyoming","Uranium",2245,56
"1074","Wyoming","Vanadium",3,56
"1075","Wyoming","Zinc",3,56
"1076","Wyoming","Zirconium",2,56
