"","time","latitude","longitude","depth","mag","magType","gap","dmin","rms","id","updated","place","type","horizontalError","depthError","magError","locationSource","magSource"
"28","2021-12-22T13:49:52.406Z",-57.7576,-25.453,35,5.3,"mb",65,7.095,0.53,"us6000geiv","2022-03-01T16:39:25.040Z","South Sandwich Islands region","earthquake",5,1.9,0.054,"us","us"
"29","2021-12-22T09:19:55.544Z",-4.6188,152.7212,57.58,5.2,"mww",24,0.699,0.68,"us6000geg0","2022-03-01T16:39:20.040Z","58 km ESE of Kokopo, Papua New Guinea","earthquake",7.5,0.6,0.066,"us","us"
"30","2021-12-22T05:51:51.578Z",-57.7817,-25.34,35,5.9,"mww",24,7.16,0.86,"us6000geea","2022-03-01T16:39:16.040Z","South Sandwich Islands region","earthquake",9,1.8,0.061,"us","us"
"31","2021-12-21T22:42:15.051Z",60.1237,-153.2742,151.2,5.9,"mww",NA,NA,0.74,"ak021gbh4rso","2022-07-12T22:52:25.690Z","58 km E of Port Alsworth, Alaska","earthquake",NA,0.2,NA,"ak","ak"
"32","2021-12-21T16:42:40.753Z",31.2206,142.2798,10,5.1,"mww",93,2.818,0.44,"us6000ge6k","2022-03-01T16:38:57.040Z","Izu Islands, Japan region","earthquake",9.4,1.8,0.055,"us","us"
"33","2021-12-20T20:10:31.310Z",40.3901667,-124.298,27.04,6.2,"mw",170,0.06557,0.13,"nc73666231","2022-07-11T20:20:41.123Z","7km N of Petrolia, CA","earthquake",0.46,0.34,NA,"nc","nc"
"34","2021-12-20T20:10:20.310Z",40.2978333,-124.626,16.51,5.65,"ml",234,0.217,0.18,"nc71127029","2022-03-01T16:38:21.040Z","29km W of Petrolia, CA","earthquake",0.9,0.42,0.146,"nc","nc"
"35","2021-12-20T16:05:25.749Z",42.3918,142.6649,40.84,5.1,"mb",74,0.524,0.42,"us6000gdup","2022-03-01T16:38:18.040Z","25 km ENE of Shizunai-furukawach?, Japan","earthquake",5.5,5.2,0.025,"us","us"
"36","2021-12-20T03:39:34.263Z",-56.8399,-24.0136,10,5.9,"mww",25,7.522,0.76,"us6000gdqc","2022-03-01T16:38:06.040Z","South Sandwich Islands region","earthquake",8.3,1.7,0.052,"us","us"
"37","2021-12-19T21:06:15.047Z",19.5613,101.3109,10,5.5,"mww",22,1.104,0.66,"us6000gdng","2022-03-01T16:38:01.040Z","53 km NW of Sainyabuli, Laos","earthquake",4.3,1.7,0.044,"us","us"
"38","2021-12-19T16:28:22.616Z",-16.3139,178.5777,10,6.2,"mww",45,1.509,0.64,"us6000gdma","2022-03-01T16:37:59.040Z","85 km W of Labasa, Fiji","earthquake",7.6,1.8,0.041,"us","us"
"39","2021-12-19T03:19:46.151Z",13.7358,92.7495,10,5.1,"mww",54,2.067,0.85,"us6000gdim","2022-03-01T16:37:45.040Z","225 km N of Bamboo Flat, India","earthquake",6.7,1.8,0.098,"us","us"
"40","2021-12-18T23:54:27.150Z",38.9211,92.619,10,5.4,"mb",19,9.292,0.48,"us6000gdhy","2022-03-01T16:37:43.040Z","northern Qinghai, China","earthquake",7.3,1.8,0.043,"us","us"
"41","2021-12-18T20:14:16.131Z",-21.4364,170.133,10,5.1,"mww",97,2.754,0.62,"us6000gdgp","2022-03-01T16:37:40.040Z","227 km SSE of Isangel, Vanuatu","earthquake",4.2,1.8,0.069,"us","us"
"42","2021-12-18T20:05:45.111Z",-47.1259,33.5085,10,6,"mww",30,12.604,0.56,"us6000gdgn","2022-03-01T16:37:39.040Z","Prince Edward Islands region","earthquake",9.5,1.7,0.058,"us","us"
"43","2021-12-18T18:25:59.198Z",-0.6917,131.5239,10,5.2,"mww",54,2.328,0.65,"us6000gdfv","2022-03-01T16:37:36.040Z","Near the north coast of Papua, Indonesia","earthquake",6.9,1.5,0.069,"us","us"
"44","2021-12-18T01:12:29.396Z",-21.8009,-174.5284,10,5.1,"mb",76,8.035,1.34,"us6000gdah","2022-03-01T16:37:19.040Z","67 km SE of ���Ohonua,","earthquake",10.7,1.8,0.039,"us","us"
"45","2021-12-17T20:02:30.019Z",-17.9852,-178.5023,575.13,5.7,"mww",38,3.289,1.08,"us6000gd7w","2022-03-01T16:37:13.040Z","231 km E of Levuka, Fiji","earthquake",9.4,3.6,0.071,"us","us"
"46","2021-12-17T00:12:53.089Z",4.8966,-82.5966,10,5.1,"mww",72,3.873,0.51,"us6000gczr","2022-03-01T16:36:56.040Z","south of Panama","earthquake",7.3,1.8,0.045,"us","us"
"47","2021-12-16T21:14:46.611Z",-60.1754,-23.8375,15,6,"mww",45,9.042,0.8,"us6000gcxa","2022-02-24T21:02:05.040Z","South Sandwich Islands region","earthquake",8.7,1.7,0.052,"us","us"
"48","2021-12-16T20:40:29.540Z",-40.6075,78.3912,10,5.1,"mb",54,2.879,0.81,"us6000gcwv","2022-02-24T21:02:05.040Z","Mid-Indian Ridge","earthquake",10.4,1.8,0.078,"us","us"
